X(E/m),Y(N/m)
330206.798824283992872,4156678.983141653239727
330206.798824283992872,4156678.983141653239727
330206.789988877018914,4156678.983322312589735
330206.789988877018914,4156678.983322312589735
330206.789988877018914,4156678.983322312589735
330206.789988877018914,4156678.983322312589735
330206.789988877018914,4156678.983322312589735
330206.789988877018914,4156678.983322312589735
330206.789761995431036,4156678.972226348705590
330206.788854468963109,4156678.927842491306365
330206.778657772170845,4156678.861447364091873
330206.776842719176784,4156678.772679648362100
330206.765965377329849,4156678.672996628563851
330206.754861153720412,4156678.562217643018812
330206.744437574758194,4156678.484726552851498
330206.733560230117291,4156678.385043531190604
330206.714074361603707,4156678.296637135092169
330206.694588492740877,4156678.208230738993734
330206.675102623528801,4156678.119824342895299
330206.664452161872759,4156678.031237288378179
330206.653801700100303,4156677.942650231998414
330206.643605001620017,4156677.876255106180906
330206.633181421319023,4156677.798764016013592
330206.622757840901613,4156677.721272923052311
330206.612334258039482,4156677.643781832419336
330206.601683797722217,4156677.555194776505232
330206.599868743622210,4156677.466427062172443
330206.589218278648332,4156677.377840005327016
330206.569505525287241,4156677.278337645344436
330206.558628180238884,4156677.178654626011848
330206.538688544358592,4156677.068056301679462
330206.518975789891556,4156676.968553941696882
330206.499036153138150,4156676.857955616898835
330206.478869634098373,4156676.736261327750981
330206.450094584841281,4156676.625843663699925
330206.430154946690891,4156676.515245338901877
330206.409988426254131,4156676.393551051616669
330206.371016673510894,4156676.216738258954138
330206.342014741792809,4156676.095224631484598
330206.294207578641362,4156675.918592500966042
330206.247534824302420,4156675.797440192196518
330206.209924359107390,4156675.687203188426793
330206.163478484726511,4156675.577146844938397
330206.125868017668836,4156675.466909841168672
330206.088484434178099,4156675.367768802214414
330206.032522496418096,4156675.224605225957930
330205.975426147051621,4156675.025961829349399
330205.927845854079351,4156674.860425664577633
330205.889100968837738,4156674.694708840455860
330205.841974437818862,4156674.551364606246352
330205.794847905403003,4156674.408020370174199
330205.728689249139279,4156674.198461671359837
330205.671139119542204,4156673.977626346517354
330205.605434223136399,4156673.790259575471282
330205.567823746707290,4156673.680022574029863
330205.539275560586248,4156673.580700878519565
330205.502118846168742,4156673.492655806243420
330205.464508362812921,4156673.382418804336339
330205.418062467710115,4156673.272362464573234
330205.389968047034927,4156673.195232695899904
330205.361419859807938,4156673.095910999458283
330205.332644786511082,4156672.985493338666856
330205.303869714844041,4156672.875075676944107
330205.256970048882067,4156672.742827409878373
330205.228875622968189,4156672.665697642602026
330205.201234965468757,4156672.610759803093970
330205.181975954910740,4156672.533449374604970
330205.145046116085723,4156672.456500267144293
330205.107889391074423,4156672.368455197662115
330205.070505784067791,4156672.269314162898809
330205.005254630348645,4156672.104139326605946
330204.931394943268970,4156671.950241114478558
330204.884722150804009,4156671.829088814090937
330204.829213942342903,4156671.708117173053324
330204.782541144988500,4156671.586964872200042
330204.735868348740041,4156671.465812570415437
330204.661328000016510,4156671.278626468963921
330204.587241418601479,4156671.113632297143340
330204.513381716213189,4156670.959734088741243
330204.458327263360843,4156670.860954379662871
330204.412108227319550,4156670.761994009837508
330204.348218356142752,4156670.663394961040467
330204.292937017627992,4156670.553519289474934
330204.192344172508456,4156670.389067105017602
330204.091524439048953,4156670.213518959004432
330204.018572259112261,4156670.104004611726850
330203.954228611488361,4156669.983213637955487
330203.881276427942794,4156669.873699294868857
330203.808097357628867,4156669.753088985104114
330203.735145172569901,4156669.643574640154839
330203.616654586920049,4156669.468387824017555
330203.534866977483034,4156669.359054144937545
330203.453079365892336,4156669.249720464460552
330203.371291752264369,4156669.140386785846204
330203.289277253206819,4156669.019957143813372
330203.207489635387901,4156668.910623465199023
330203.125702015357092,4156668.801289790309966
330203.007211405783892,4156668.626102980691940
330202.897556209587492,4156668.450735509395599
330202.815541695104912,4156668.330305872019380
330202.733527178410441,4156668.209876234643161
330202.642677242984064,4156668.089627262204885
330202.551600416249130,4156667.958282325416803
330202.424274364369921,4156667.783276187721640
330202.305556837527547,4156667.596993424929678
330202.178457662230358,4156667.433083255309612
330202.105278547620401,4156667.312472958583385
330202.023717787815258,4156667.214235257357359
330201.941930136643350,4156667.104901592247188
330201.860142483375967,4156666.995567927602679
330201.778354828013107,4156666.886234262958169
330201.651482519577257,4156666.733420064672828
330201.578757169307210,4156666.635001702699810
330201.497196394659113,4156666.536764004733413
330201.415408730332274,4156666.427430344745517
330201.333847951842472,4156666.329192649573088
330201.206975627224892,4156666.176378457807004
330201.080330186348874,4156666.034660231322050
330200.944622431648895,4156665.882026709150523
330200.808914672117680,4156665.729393186978996
330200.727353879949078,4156665.631155496928841
330200.645566196995787,4156665.521821842528880
330200.509858426288702,4156665.369188327342272
