X(E/m),Y(N/m)
330197.007589269545861,4156671.324123203754425
330197.007589269545861,4156671.324123203754425
330197.007589269545861,4156671.324123203754425
330197.007589269545861,4156671.324123203754425
330196.998753854073584,4156671.324303873348981
330196.998753854073584,4156671.324303873348981
330196.998753854073584,4156671.324303873348981
330196.998753854073584,4156671.324303873348981
330196.989918438601308,4156671.324484543409199
330196.989918438601308,4156671.324484543409199
330196.989918438601308,4156671.324484543409199
330196.989918438601308,4156671.324484543409199
330196.989918438601308,4156671.324484543409199
330196.989918438601308,4156671.324484543409199
330196.989918438601308,4156671.324484543409199
330196.989918438601308,4156671.324484543409199
330196.981083023129031,4156671.324665213469416
330196.981083023129031,4156671.324665213469416
330196.972247607656755,4156671.324845881666988
330196.972020713496022,4156671.313749917782843
330196.972247607656755,4156671.324845881666988
330196.963412189972587,4156671.325026552658528
330196.954576776828617,4156671.325207221321762
330196.954576776828617,4156671.325207221321762
330196.954576776828617,4156671.325207221321762
330196.954576776828617,4156671.325207221321762
330196.945741361356340,4156671.325387891847640
330196.945741361356340,4156671.325387891847640
330196.945741361356340,4156671.325387891847640
330196.936905943672173,4156671.325568560976535
330196.936905943672173,4156671.325568560976535
330196.928070528199896,4156671.325749231036752
330196.928070528199896,4156671.325749231036752
330196.928070528199896,4156671.325749231036752
330196.928070528199896,4156671.325749231036752
330196.928070528199896,4156671.325749231036752
330196.927843633980956,4156671.314653265755624
330196.927843633980956,4156671.314653265755624
330196.927843633980956,4156671.314653265755624
330196.927843633980956,4156671.314653265755624
330196.927843633980956,4156671.314653265755624
330196.927616739762016,4156671.303557301405817
330196.927616739762016,4156671.303557301405817
330196.927616739762016,4156671.303557301405817
330196.918781324289739,4156671.303737971931696
330196.927616739762016,4156671.303557301405817
330196.927389845484868,4156671.292461336590350
330196.918554430012591,4156671.292642006184906
330196.927389845484868,4156671.292461336590350
330196.927389845484868,4156671.292461336590350
330196.927389845484868,4156671.292461336590350
330196.927389845484868,4156671.292461336590350
330196.927162951265927,4156671.281365372240543
330196.918554430012591,4156671.292642006184906
330196.918554430012591,4156671.292642006184906
330196.918554430012591,4156671.292642006184906
330196.918327535793651,4156671.281546041369438
330196.918327535793651,4156671.281546041369438
330196.918327535793651,4156671.281546041369438
330196.909492120263167,4156671.281726712360978
330196.909492120263167,4156671.281726712360978
330196.909492120263167,4156671.281726712360978
330196.909492120263167,4156671.281726712360978
330196.909492120263167,4156671.281726712360978
330196.909492120263167,4156671.281726712360978
330196.909265226044226,4156671.270630747545511
330196.909265226044226,4156671.270630747545511
330196.909265226044226,4156671.270630747545511
330196.900429810513742,4156671.270811417605728
330196.909265226044226,4156671.270630747545511
330196.909265226044226,4156671.270630747545511
330196.909265226044226,4156671.270630747545511
330196.909265226044226,4156671.270630747545511
330196.909265226044226,4156671.270630747545511
330196.909265226044226,4156671.270630747545511
330196.909265226044226,4156671.270630747545511
330196.909265226044226,4156671.270630747545511
330196.900429810513742,4156671.270811417605728
330196.900429810513742,4156671.270811417605728
330196.900202916294802,4156671.259715453255922
330196.909265226044226,4156671.270630747545511
330196.909038331825286,4156671.259534783661366
330196.909038331825286,4156671.259534783661366
330196.908811437548138,4156671.248438818380237
330196.908811437548138,4156671.248438818380237
330196.908811437548138,4156671.248438818380237
330196.908811437548138,4156671.248438818380237
330196.908811437548138,4156671.248438818380237
330196.908811437548138,4156671.248438818380237
330196.908811437548138,4156671.248438818380237
330196.908811437548138,4156671.248438818380237
330196.899976022075862,4156671.248619487974793
330196.908584543270990,4156671.237342855427414
330196.899749127798714,4156671.237523524090648
330196.899749127798714,4156671.237523524090648
330196.890686817932874,4156671.226608228869736
330196.890913712210022,4156671.237704194150865
330196.899522233521566,4156671.226427559740841
330196.890459923655726,4156671.215512264985591
330196.881851402344182,4156671.226788898929954
330196.890459923655726,4156671.215512264985591
330196.890459923655726,4156671.215512264985591
330196.854891364811920,4156671.205138978082687
330196.854664470534772,4156671.194043016061187
330196.828385118045844,4156671.205680986866355
330196.845602162880823,4156671.183127720840275
330196.845148374151904,4156671.160935790743679
330196.844921479874756,4156671.149839826859534
330196.844921479874756,4156671.149839826859534
330196.836086064227857,4156671.150020496454090
330196.835859169834293,4156671.138924531172961
330196.835632275557145,4156671.127828567754477
330196.835632275557145,4156671.127828567754477
330196.826796857640147,4156671.128009237349033
330196.826796857640147,4156671.128009237349033
330196.826796857640147,4156671.128009237349033
330196.826796857640147,4156671.128009237349033
330196.826796857640147,4156671.128009237349033
330196.817961441935040,4156671.128189907874912
330196.817961441935040,4156671.128189907874912
330196.826796857640147,4156671.128009237349033
330196.826796857640147,4156671.128009237349033
330196.818188336328603,4156671.139285871759057
330196.818188336328603,4156671.139285871759057
330196.818188336328603,4156671.139285871759057
330196.818188336328603,4156671.139285871759057
330196.818188336328603,4156671.139285871759057
330196.809352920681704,4156671.139466540887952
330196.809352920681704,4156671.139466540887952
330196.809579815017059,4156671.150562506169081
330196.809352920681704,4156671.139466540887952
330196.809352920681704,4156671.139466540887952
330196.800290610641241,4156671.128551247064024
330196.800290610641241,4156671.128551247064024
330196.791228300542571,4156671.117635952774435
330196.791228300542571,4156671.117635952774435
330196.782165990443900,4156671.106720658019185
330196.782165990443900,4156671.106720658019185
330196.781939096050337,4156671.095624692272395
330196.781939096050337,4156671.095624692272395
330196.773103680345230,4156671.095805362798274
330196.772876785951667,4156671.084709398448467
330196.772876785951667,4156671.084709398448467
330196.772649891558103,4156671.073613433633000
330196.772649891558103,4156671.073613433633000
330196.772422997106332,4156671.062517469748855
330196.772422997106332,4156671.062517469748855
330196.772422997106332,4156671.062517469748855
330196.772422997106332,4156671.062517469748855
330196.772422997106332,4156671.062517469748855
330196.763587581343018,4156671.062698139809072
330196.763587581343018,4156671.062698139809072
330196.772422997106332,4156671.062517469748855
330196.763360686949454,4156671.051602174527943
330196.772196102712769,4156671.051421505399048
330196.772422997106332,4156671.062517469748855
330196.763587581343018,4156671.062698139809072
330196.772422997106332,4156671.062517469748855
330196.763587581343018,4156671.062698139809072
330196.763587581343018,4156671.062698139809072
330196.763587581343018,4156671.062698139809072
330196.763814475794788,4156671.073794104624540
330196.754752165696118,4156671.062878809869289
330196.754752165696118,4156671.062878809869289
330196.763587581343018,4156671.062698139809072
330196.763587581343018,4156671.062698139809072
330196.764268264640123,4156671.095986032858491
330196.676821683649905,4156671.142176589462906
330196.518691776320338,4156671.189812509808689
330196.396130430279300,4156671.247821715194732
330196.246609049034305,4156671.284181004855782
330196.071942792506889,4156671.387658095452935
330195.870543398661539,4156671.480581238865852
330195.686361047788523,4156671.550951117184013
330195.494931560009718,4156671.699173418339342
330195.301913799485192,4156671.769723976962268
330195.100287528359331,4156671.851551174651831
330194.915651397604961,4156671.899729141499847
330194.695446712023113,4156671.937533834483474
330194.501294477609918,4156671.952604588586837
330194.290605902904645,4156672.023516514338553
330194.096453670761548,4156672.038587276823819
330193.874887601356022,4156672.009816205129027
330193.679827774642035,4156671.980503119528294
330193.484087249613367,4156671.917902145534754
330193.332523798861075,4156671.854397807270288
330193.198404276510701,4156671.779436158947647
330193.054768636066001,4156671.671367295086384
330192.919514610141050,4156671.540925828274339
330192.740310400142334,4156671.422483699396253
330192.595767149585299,4156671.270030985120684
330192.442615378240589,4156671.128854909911752
330192.332733080256730,4156670.942391606513411
330192.240294709568843,4156670.744470991194248
330192.199961231555790,4156670.501082470174879
330192.238238905440085,4156670.211684017442167
330192.276062779827043,4156669.900093637406826
330192.342208114336245,4156669.676728949416429
330192.455026441835798,4156669.574516501277685
330192.612702559330501,4156669.504688574932516
330192.770832481095567,4156669.457052582409233
330192.946860136929899,4156669.420151208061725
330193.106351457128767,4156669.439091009553522
330193.266069673001766,4156669.469126778189093
330193.356692841742188,4156669.578279688023031
330193.361457718187012,4156669.811294942628592
330193.322272406774573,4156670.056309529580176
