X(E/m),Y(N/m)
330181.927561746677384,4156650.552449615206569
330181.927561746677384,4156650.552449615206569
330181.927788659464568,4156650.563545579556376
330181.927788659464568,4156650.563545579556376
330181.927788659464568,4156650.563545579556376
330181.927561746677384,4156650.552449615206569
330181.927561746677384,4156650.552449615206569
330181.927561746677384,4156650.552449615206569
330181.927561746677384,4156650.552449615206569
330181.927334834006615,4156650.541353651322424
330181.927334834006615,4156650.541353651322424
330181.927334834006615,4156650.541353651322424
330181.944551884778775,4156650.518800352700055
330181.961995848454535,4156650.507343018427491
330181.988955990411341,4156650.528992892708629
330181.998925991705619,4156650.584292029030621
330182.019092906673905,4156650.705986268818378
330182.022042770753615,4156650.850233806762844
330182.034735723107588,4156651.038684517145157
330182.048563238233328,4156651.282615050673485
330182.063071491080336,4156651.559833477251232
330182.087095918133855,4156651.870159111451358
330182.111574169481173,4156652.202676676679403
330182.136960072559305,4156652.579578099772334
330182.189079191535711,4156652.967033431865275
330182.241425221844111,4156653.365584728773683
330182.294905808696058,4156653.819615849759430
330182.365376524860039,4156654.239997709635645
330182.427011799416505,4156654.660560251213610
330182.488647071761079,4156655.081122795119882
330182.549828512477688,4156655.479493410792202
330182.628680815920234,4156655.877502657938749
330182.681253727176227,4156656.287149922922254
330182.760106019501109,4156656.685159171931446
330182.829895960399881,4156657.072253141552210
330182.890623555635102,4156657.448431829456240
330182.960186576936394,4156657.824429835192859
330183.029749591019936,4156658.200427840929478
330183.081641743308865,4156658.576787216588855
330183.150977836339734,4156658.941689257510006
330183.211251586442813,4156659.295676020439714
330183.280360758537427,4156659.649482098873705
330183.349243016680703,4156659.992192214354873
330183.400454412563704,4156660.335263696499169
330183.451892719021998,4156660.689431144390255
330183.520321139600128,4156661.009949331171811
330183.571078704902902,4156661.330828887410462
330183.639507117448375,4156661.651347075123340
330183.690491587272845,4156661.983322593849152
330183.749857655027881,4156662.292925502173603
330183.818286055466160,4156662.613443691749126
330183.869270515162498,4156662.945419212803245
330183.928636574302800,4156663.255022122059017
330184.005900386837311,4156663.575359630398452
330184.091545798757579,4156663.873324526008219
330184.203470565262251,4156664.159651410300285
330184.333066171151586,4156664.445616928860545
330184.488714219129179,4156664.708848470821977
330184.670414705411531,4156664.949346040375531
330184.878167626797222,4156665.167109637055546
330185.129416924202815,4156665.350681934505701
330185.380666208337061,4156665.534254238940775
330185.649586327082943,4156665.717465186491609
330185.927114944730420,4156665.889399497304112
330186.204643552831840,4156666.061333818361163
330186.491007568314672,4156666.233087466098368
330186.786206994904205,4156666.404660444241017
330187.073024802317377,4156666.598606041632593
330187.351007173187099,4156666.792732327710837
330187.611772505100816,4156667.009411910548806
330187.872537823393941,4156667.226091501303017
330188.124467705842108,4156667.442951778881252
330188.368015966378152,4156667.682184671517462
330188.603182603837922,4156667.943790178280324
330188.820678390795365,4156668.205757047049701
330189.011894808150828,4156668.479361921548843
330189.194729605922475,4156668.775339407380670
330189.342222716426477,4156669.072039606049657
330189.480880401562899,4156669.368920485954732
330189.611156463215593,4156669.688173974398524
330189.741432520211674,4156670.007427462842315
330189.862646245397627,4156670.315765668638051
330189.984313769266009,4156670.646295803133398
330190.088083548878785,4156670.966091329231858
330190.183244808868039,4156671.297163498122245
330190.269570646865759,4156671.628416344989091
330190.329390231636353,4156671.960211222060025
330190.380828203982674,4156672.314378706738353
330190.343458224262577,4156672.648161028977484
330190.369070661719888,4156673.036158437840641
330190.314483667258173,4156673.392494043335319
330190.268505186249968,4156673.737553009297699
330190.071643980103545,4156674.052395589649677
330189.892453614505939,4156674.366876822896302
330189.659343173436355,4156674.638058265671134
330189.399045796308201,4156674.876493855379522
330189.147356943227351,4156675.103652810677886
330188.859645742108114,4156675.298246594611555
330188.536592904361896,4156675.493563104420900
330188.177517720614560,4156675.656314448919147
330187.835886465501972,4156675.807608486153185
330187.458459762157872,4156675.937433327548206
330187.089868480514269,4156676.067077507264912
330186.738721124944277,4156676.185264377389103
330186.369676046713721,4156676.292716659139842
330186.000857888604514,4156676.411264924332500
330185.658092151919845,4156676.507079229224473
330185.306491009891033,4156676.603074231650680
330184.954662966949400,4156676.687973282299936
330184.610762693802826,4156676.728307808283716
330184.275924747344106,4156676.779557629954070
330183.958530712290667,4156676.819350132718682
330183.605568127008155,4156676.848769418429583
330183.119847475201823,4156676.869803024455905
330182.792937296151649,4156676.876488361507654
330182.457418620819226,4156676.894450360909104
330182.130962270661257,4156676.923327654600143
330181.786608187132515,4156676.941470367833972
330181.433191776741296,4156676.948697817511857
330181.088383862632327,4156676.944648629985750
330180.752411357476376,4156676.940418769605458
330180.416665765689686,4156676.947284888476133
330180.081147093034815,4156676.965246985200793
330179.754917666432448,4156677.005220337305218
330179.428688242216595,4156677.045193701982498
330179.102231901953928,4156677.074071114882827
330178.776002482161857,4156677.114044505171478
330178.431875323411077,4156677.143283323384821
330178.096810498216655,4156677.183437430299819
330177.761745675583370,4156677.223591551184654
330177.462022494873963,4156677.263022922445089
330177.162526237429120,4156677.313550270162523
330176.845132242073305,4156677.353343047201633
330176.403815588273574,4156677.384569555055350
330176.096164697431959,4156677.468565526884049
330175.796895376057364,4156677.530188890639693
330175.479728315956891,4156677.581077682785690
330175.153952773485798,4156677.643243147991598
330174.845848054043017,4156677.705047238152474
330174.520072519779205,4156677.767212727572769
330174.212194733554497,4156677.840112806763500
330173.886192282487173,4156677.891182355582714
330173.568571392272133,4156677.919879294000566
330173.250269724405371,4156677.915288349147886
330172.958474283630494,4156677.910155328456312
330172.674833469849546,4156677.871553730219603
330172.425626583106350,4156677.787845493759960
330172.201564353366848,4156677.637019387446344
330171.994265223038383,4156677.441448033787310
330171.812791528529488,4156677.212046699598432
330171.701774181099609,4156676.970103829167783
330171.607746863621287,4156676.694511670619249
330171.566051223082468,4156676.384547437541187
330171.486971575650387,4156675.975442306604236
330171.496699902229011,4156675.586722136475146
330171.532934465678409,4156675.197459875606000
330171.604056828015018,4156674.785282899159938
330171.701685440493748,4156674.372563831973821
330171.826047235168517,4156673.970398643985391
330171.976915283012204,4156673.567691368516535
330172.145908032660373,4156673.186814632732421
330172.341860897722654,4156672.827587746083736
330172.538040707586333,4156672.479456826578826
330172.751891365624033,4156672.130964524578303
330172.975031310808845,4156671.804483461193740
330173.189335860195570,4156671.478183098603040
330173.386423440999351,4156671.174436063505709
330173.601635725470260,4156670.892519575078040
330173.798950261319987,4156670.599868515040725
330174.005327156046405,4156670.318132732994854
330174.220766409533098,4156670.047312226612121
330174.409472494851798,4156669.765937841497362
330174.616303280112334,4156669.506394004914910
330174.805236317915842,4156669.236115595791489
330175.003231710521504,4156668.976752463262528
330175.192391696851701,4156668.717570027802140
330175.381551695347298,4156668.458387598861009
330175.579547125671525,4156668.199024480767548
330175.795667252619751,4156667.961491914931685
330176.002951972186565,4156667.724140045698732
330176.219525967317168,4156667.508799421135336
330176.427264553261921,4156667.293639493640512
330176.617332308669575,4156667.078840954694897
330176.798564653145149,4156666.864223110489547
330176.953290741425008,4156666.650147343985736
330177.090119077009149,4156666.425336995627731
330177.191151891136542,4156666.179057483095676
330177.274513867916539,4156665.933139353059232
330177.330688821384683,4156665.654475402086973
330177.368966016685590,4156665.365076866932213
330177.389345447532833,4156665.064943747129291
330177.391827114624903,4156664.754076043609530
330177.367575592419598,4156664.432654447387904
330177.334261725540273,4156664.100317575037479
330177.292112430441193,4156663.768161393702030
330177.223229941679165,4156663.425451321527362
330177.154347445932217,4156663.082741246093065
330177.067567174904980,4156662.729296589270234
330176.971951471758075,4156662.376032623928040
330176.884944267396349,4156662.011492006015033
330176.780493126309011,4156661.658408733084798
330176.711610603029840,4156661.315698661841452
330176.633892650133930,4156660.973169283475727
330176.547112341388129,4156660.619724630843848
330176.460558947059326,4156660.277375945821404
330176.382614054251462,4156659.923750604502857
330176.295833727170248,4156659.570305955130607
330176.226497333147563,4156659.205403959844261
330176.148325502639636,4156658.840682654641569
330176.070607508532703,4156658.498153281863779
330176.010560372029431,4156658.155262525193393
330175.941677798517048,4156657.812552461866289
330175.873022144136485,4156657.480938363820314
330175.830872776859906,4156657.148782189469784
330175.771052546158899,4156656.816987399477512
330175.729130097082816,4156656.495927191339433
330175.678372211172245,4156656.175047674681991
330175.627387402986642,4156655.843072195537388
330175.585691865650006,4156655.533107951749116
330175.534707051701844,4156655.201132473535836
330175.493011509533972,4156654.891168230678886
330175.451089045614935,4156654.570108023937792
330175.418228935566731,4156654.259963090531528
330175.393977336934768,4156653.938541500829160
330175.360890300013125,4156653.617300602141768
330175.328030185541138,4156653.307155669201165
330175.312614019145258,4156652.985553388018161
330175.297197852632962,4156652.663951107766479
330175.291070965700783,4156652.364360062871128
330175.311223470023833,4156652.053130979184061
330175.359016893547960,4156651.796839639078826
330175.390274053905159,4156651.596389509737492
330175.405448793957476,4156651.473972516600043
330175.404314186365809,4156651.418492692988366
330175.395251825160813,4156651.407577420119196
330175.378034793422557,4156651.430130732245743
330175.352436167537235,4156651.475056667346507
330175.327064463403076,4156651.531078565865755
330175.301919681485742,4156651.598196429666132
330175.295580380363390,4156651.720432732254267
330175.289014160167426,4156651.831573069561273
330175.282221018569544,4156651.931617442984134
